scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm
narrowband,greedy_twin,naive,phi,radioml,10,300,0.9916319670040017,0.9739999527235773,0.20666666666666667,0.25333333333333335,1,0.0,0.0,26.873333333333335,42.867017970350915,0.7382986336706683,0.08,0.11333333333333333,0.08,0.0,0.0,0.0
narrowband,greedy_twin,naive,phi,radioml,11,300,0.9905017706208453,0.9799065911589517,0.19666666666666666,0.25,1,0.0,0.0,26.86,41.709814403937614,0.7405017706208452,0.07666666666666666,0.14,0.04666666666666667,0.0,0.0,0.006666666666666667
narrowband,greedy_twin,naive,phi,radioml,12,300,0.9917213872228827,0.9739999918558663,0.23333333333333334,0.3433333333333333,1,0.0,0.0,27.60333333333333,48.79702042072904,0.6483880538895493,0.1,0.21666666666666667,0.05333333333333334,0.0,0.0,0.09333333333333334
narrowband,greedy_twin,naive,phi,radioml,13,300,0.9920653018256651,0.9856355973543316,0.20333333333333334,0.26666666666666666,1,0.0,0.0,26.906666666666666,46.81722522925338,0.7253986351589986,0.07666666666666666,0.14333333333333334,0.06666666666666667,0.0,0.0,0.02666666666666667
narrowband,greedy_twin,naive,phi,radioml,14,300,0.9916983560887581,0.9815207654247952,0.18666666666666668,0.22,1,0.0,0.0,26.89666666666667,43.66957069880611,0.7716983560887583,0.056666666666666664,0.11,0.08,0.0,0.0,0.016666666666666666
narrowband,greedy_twin,naive,phi,radioml,15,300,0.9914045875163132,0.9739990496772845,0.21333333333333335,0.25666666666666665,1,0.0,0.0,27.05,42.91684676415743,0.7347379208496466,0.07,0.12333333333333334,0.07333333333333333,0.0,0.0,0.06666666666666667
narrowband,greedy_twin,naive,phi,radioml,16,300,0.9910901813724873,0.9840539181962237,0.19666666666666666,0.21333333333333335,1,0.0,0.0,26.716666666666665,41.06203457349863,0.7777568480391541,0.07,0.09666666666666666,0.08,0.0,0.0,0.006666666666666667
narrowband,greedy_twin,naive,phi,radioml,17,300,0.989798391301621,0.9834311123685981,0.18666666666666668,0.23,1,0.0,0.0,26.963333333333335,42.936275015075665,0.759798391301621,0.06333333333333334,0.11333333333333333,0.04666666666666667,0.0,0.0,0.03333333333333333
narrowband,greedy_twin,naive,phi,radioml,18,300,0.9882835214121042,0.9739999826508637,0.22666666666666666,0.27,2,0.0,0.0,27.10333333333333,40.36786662750112,0.7182835214121043,0.07333333333333333,0.13666666666666666,0.09666666666666666,0.0,0.0,0.023333333333333334
narrowband,greedy_twin,naive,phi,radioml,19,300,0.9912761746206251,0.9811756835254415,0.20666666666666667,0.25666666666666665,1,0.0,0.0,27.063333333333333,48.314573200389844,0.7346095079539583,0.06333333333333334,0.13,0.06666666666666667,0.0,0.0,0.06
