mcs,snr,pdr,n
21,13,0.8310166666666666,240
21,14,0.8882536023054755,347
21,15,0.9705022522522523,444
21,16,0.9934686274509804,1530
21,17,0.9365971659919028,494
21,18,0.9452016412661195,853
21,19,0.9787908343125735,851
21,20,0.9790000000000001,51
22,-6,1.0,46
22,10,0.7180701754385965,57
22,11,0.8194470046082949,217
22,12,0.7755555555555556,72
22,13,0.9561825902335457,471
22,14,0.9658323057953144,811
22,15,0.9763472222222223,360
22,16,0.9967245382585751,1895
22,17,0.9793664383561644,292
22,18,0.97889852700491,611
22,19,0.9899567901234567,324
23,11,0.6214864864864865,74
23,12,0.835,46
23,13,0.937688679245283,212
23,14,0.9513197969543147,394
23,15,0.9575604395604396,91
23,16,0.9888819999999999,500
23,17,0.972536231884058,138
23,18,0.975975369458128,203
23,19,0.9759,40
24,11,0.5025581395348837,43
24,13,0.9610567010309278,388
24,14,0.969352290679305,633
24,15,0.98598,250
24,16,0.9807324561403509,228
24,17,0.9991111111111112,315
24,18,0.9958394160583942,411
24,19,0.98925,40
25,10,0.9971310993533216,1701
25,13,0.7739999999999999,45
25,14,0.9341935483870967,93
25,15,0.9886818181818181,198
26,12,0.957752808988764,89
26,13,0.9709574468085106,188
26,14,0.9709130434782609,230
26,15,0.9856370370370371,270
26,16,0.9814814814814815,54
26,18,0.998225806451613,62
27,13,0.9776,125
27,14,0.986046511627907,215
27,16,0.9934615384615384,156
28,15,0.9985365853658537,41
28,16,1.0,703
28,17,1.0,110
28,18,0.9885057471264368,435
