scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,dropped
compound,shield_repair,naive,loo,radioml,13,300,0.9224934196704992,0.7844650777409873,0.0,0.41,1,0.0,0.5293333333333333,27.37,41.16368436192221,0.5124934196704993,0.0,0.11,0.34,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,14,300,0.9159011451703623,0.6801770058242803,0.0,0.49,2,0.0,0.49733333333333335,27.536666666666665,43.81898415857014,0.4259011451703622,0.0,0.19333333333333333,0.36333333333333334,0.0,0.0,0.0,phi_bh
narrowband,shield_repair,naive,loo,radioml,0,300,0.9880242168209619,0.978923189052068,0.0,0.09,1,0.0,0.3393333333333333,26.373333333333335,39.38416139973205,0.8980242168209619,0.0,0.09,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,1,300,0.9919748535714139,0.9862040077432356,0.0,0.07,1,0.0,0.3526666666666667,26.116666666666667,37.047020273997454,0.921974853571414,0.0,0.07,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,2,300,0.9917386442042933,0.986216833923414,0.0,0.08666666666666667,1,0.0,0.3433333333333333,26.516666666666666,43.477845856006226,0.9050719775376266,0.0,0.08666666666666667,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,3,300,0.9913094631734024,0.9740378726870449,0.0,0.08,1,0.0,0.34933333333333333,26.293333333333333,40.222933489860175,0.9113094631734024,0.0,0.08,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,4,300,0.9913785826992142,0.9828326994417224,0.0,0.05333333333333334,1,0.0,0.35533333333333333,26.436666666666667,43.81480587817549,0.9380452493658809,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,5,300,0.9913751484815786,0.9739999750442907,0.0,0.07,1,0.0,0.364,26.22,42.97830657562457,0.9213751484815785,0.0,0.07,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,6,300,0.9881037584983559,0.9760995643579743,0.0,0.05,1,0.0,0.3313333333333333,26.336666666666666,39.176749180916616,0.9381037584983558,0.0,0.05,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,7,300,0.991855894290604,0.9860873959933631,0.0,0.07666666666666666,1,0.0,0.35333333333333333,26.54,40.84516121912245,0.9151892276239373,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,8,300,0.9913994329883754,0.9739998467528639,0.0,0.08,1,0.0,0.3506666666666667,26.413333333333334,40.84265473396387,0.9113994329883754,0.0,0.08,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,9,300,0.9914299924921931,0.9813884458287413,0.0,0.06,1,0.0,0.34933333333333333,26.37,46.80636337569092,0.9314299924921932,0.0,0.06,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,10,300,0.9913774634717455,0.9739999138207099,0.0,0.06,1,0.0,0.3486666666666667,26.56,41.32939903684903,0.9313774634717453,0.0,0.06,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,11,300,0.9902556292311613,0.9800175783162567,0.0,0.08333333333333333,1,0.0,0.34933333333333333,26.27,41.856959715189426,0.9069222958978279,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,12,300,0.9919150322415256,0.9873331192776016,0.0,0.1,1,0.0,0.348,26.593333333333334,42.01634319749612,0.8919150322415255,0.0,0.1,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,13,300,0.98564179826578,0.9856355973543316,0.0,0.06,1,0.0,0.338,26.3,44.40614788639988,0.9256417982657801,0.0,0.06,0.0,0.0,0.0,0.0,phi_u
narrowband,shield_repair,naive,loo,radioml,14,300,0.9903096463777765,0.983552693888572,0.0,0.03666666666666667,1,0.0,0.35133333333333333,26.336666666666666,42.699164678777294,0.9536429797111098,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,0,300,0.8703061458387761,0.5087141755341426,0.0,0.2833333333333333,2,0.0,0.348,27.733333333333334,39.9977883735229,0.5869728125054428,0.0,0.27666666666666667,0.0,0.0,0.0,0.006666666666666667,phi_u
wideband,shield_repair,naive,loo,radioml,1,300,0.850513884526229,0.0016295236469301092,0.0,0.21333333333333335,2,0.0,0.36933333333333335,27.303333333333335,37.05027810211773,0.6371805511928956,0.0,0.21333333333333335,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,2,300,0.8509683778587214,0.00019889108651828776,0.0,0.18333333333333332,1,0.0,0.3546666666666667,27.456666666666667,43.48102483704474,0.6676350445253882,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,3,300,0.8649437225055211,0.01762021334423635,0.0,0.17666666666666667,2,0.0,0.36666666666666664,27.51,40.30902050708833,0.6882770558388546,0.0,0.17666666666666667,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,4,300,0.8459327481549885,0.0010804726405048803,0.0,0.18,1,0.0,0.36933333333333335,27.626666666666665,46.40602463184592,0.6659327481549887,0.0,0.18,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,5,300,0.8512290216737763,0.002735546885924609,0.0,0.18333333333333332,4,0.0,0.38133333333333336,27.43,43.06996702830009,0.667895688340443,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,phi_u
