scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,atk_predicate_set
bursty,greedy_twin,adaptive,phi_plus,radioml,24,300,0.9818727988004858,0.9737102015283011,0.8333333333333334,0.14333333333333334,1,0.0,0.0,28.003333333333334,51.45906055648464,0.8385394654671524,0.0,0.13666666666666666,0.0,0.0,0.6733333333333333,0.0,0.006666666666666667,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,25,300,0.9825716575347705,0.9733868310435131,0.8133333333333334,0.11333333333333333,1,0.0,0.0,27.796666666666667,51.33467919590326,0.8692383242014372,0.0,0.11,0.0,0.0,0.65,0.0,0.006666666666666667,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,26,300,0.9778102265514862,0.973887376250871,0.8,0.07666666666666666,1,0.0,0.0,27.77,52.519007183696196,0.9011435598848198,0.0,0.07,0.0,0.0,0.6566666666666666,0.0,0.006666666666666667,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,27,300,0.9833135392622093,0.9739174102259193,0.8366666666666667,0.13333333333333333,1,0.0,0.0,28.093333333333334,53.12090752974703,0.849980205928876,0.0,0.09333333333333334,0.0,0.0,0.7266666666666667,0.0,0.04666666666666667,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,28,300,0.9808375164578061,0.9737688917124205,0.7833333333333333,0.13,1,0.0,0.0,27.79,45.38637505137631,0.8508375164578063,0.0,0.12,0.0,0.0,0.6833333333333333,0.0,0.03333333333333333,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,29,300,0.9827742912712794,0.9735373946114,0.8266666666666667,0.15333333333333332,1,0.0,0.0,28.18,52.490786714293684,0.829440957937946,0.0,0.1,0.0,0.0,0.65,0.0,0.06333333333333334,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,0,300,0.9548618010041627,0.7791979700715893,0.7433333333333333,0.25333333333333335,1,0.0,0.0,27.85,44.54416776842445,0.7015284676708294,0.0,0.20333333333333334,0.0,0.0,0.7033333333333334,0.0,0.07,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,1,300,0.9431375612453311,0.7789531525111768,0.7566666666666667,0.17333333333333334,1,0.0,0.0,27.836666666666666,49.83573648927892,0.7698042279119978,0.0,0.14333333333333334,0.0,0.0,0.7033333333333334,0.0,0.03666666666666667,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,2,300,0.9531725934478019,0.7789036751578912,0.7766666666666666,0.11,1,0.0,0.0,28.11,47.06198052884576,0.8431725934478018,0.0,0.08,0.0,0.0,0.6466666666666666,0.0,0.03666666666666667,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,3,300,0.9464300567367078,0.7753070462556885,0.8,0.28,2,0.0,0.0,28.123333333333335,50.64844268483106,0.6664300567367077,0.0,0.16666666666666666,0.0,0.0,0.6833333333333333,0.0,0.15,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,4,300,0.9469511277290387,0.7791570031976502,0.76,0.22,1,0.0,0.0,27.873333333333335,53.02650715997209,0.7269511277290387,0.0,0.19666666666666666,0.0,0.0,0.6833333333333333,0.0,0.03333333333333333,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,5,300,0.9498563256279836,0.7788649825898076,0.7166666666666667,0.22666666666666666,2,0.0,0.0,27.703333333333333,48.050593215025735,0.7231896589613169,0.0,0.20333333333333334,0.0,0.0,0.72,0.0,0.04,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,6,300,0.9493260799490948,0.7790895595059008,0.8133333333333334,0.23,1,0.0,0.0,28.173333333333332,52.433082373208116,0.7193260799490949,0.0,0.15666666666666668,0.0,0.0,0.6566666666666666,0.0,0.11333333333333333,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,7,300,0.9459573404869889,0.7789817506194519,0.7833333333333333,0.17,2,0.0,0.0,28.053333333333335,55.020388456923,0.775957340486989,0.0,0.13666666666666666,0.0,0.0,0.6833333333333333,0.0,0.04,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,8,300,0.9527292240853042,0.779102084461451,0.7733333333333333,0.19,1,0.0,0.0,28.113333333333333,50.83449408099899,0.7627292240853044,0.0,0.10333333333333333,0.0,0.0,0.6566666666666666,0.0,0.09666666666666666,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,9,300,0.9540336184540862,0.7791977239665956,0.8466666666666667,0.36666666666666664,1,0.0,0.0,28.636666666666667,46.757045961049975,0.5873669517874195,0.0,0.11333333333333333,0.0,0.0,0.64,0.0,0.2833333333333333,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,10,300,0.9498288020482611,0.779160643512408,0.7666666666666667,0.22333333333333333,1,0.0,0.0,27.993333333333332,49.3444891112826,0.7264954687149279,0.0,0.14666666666666667,0.0,0.0,0.6366666666666667,0.0,0.09,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,11,300,0.955373562751746,0.7791989699291663,0.7233333333333334,0.17333333333333334,1,0.0,0.0,27.72,46.78058268656815,0.7820402294184126,0.0,0.14666666666666667,0.0,0.0,0.7,0.0,0.04,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,12,300,0.9458468581284152,0.7790707144200201,0.7566666666666667,0.23,2,0.0,0.0,27.976666666666667,51.17068326822083,0.7158468581284153,0.0,0.13666666666666666,0.0,0.0,0.6566666666666666,0.0,0.10333333333333333,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,13,300,0.9497638412532126,0.7791874327083317,0.73,0.19666666666666666,1,0.0,0.0,27.816666666666666,46.84775129051692,0.7530971745865459,0.0,0.15333333333333332,0.0,0.0,0.6466666666666666,0.0,0.05,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,14,300,0.9547897343711447,0.7791850687037076,0.78,0.19,1,0.0,0.0,28.1,48.40315244170954,0.7647897343711446,0.0,0.11,0.0,0.0,0.61,0.0,0.09666666666666666,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,15,300,0.9404285847340873,0.7787135153657575,0.76,0.18333333333333332,1,0.0,0.0,27.91,50.24627095668851,0.757095251400754,0.0,0.15333333333333332,0.0,0.0,0.6466666666666666,0.0,0.056666666666666664,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,16,300,0.9556395731560777,0.7791996805261878,0.7933333333333333,0.22333333333333333,1,0.0,0.0,28.32,52.082856755974106,0.7323062398227443,0.0,0.12333333333333334,0.0,0.0,0.66,0.0,0.11,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,17,300,0.9516216174713892,0.7790911038723403,0.79,0.23333333333333334,1,0.0,0.0,28.17,47.97233935996561,0.718288284138056,0.0,0.12,0.0,0.0,0.5933333333333334,0.0,0.12,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,18,300,0.9449787643974217,0.7791860671575285,0.74,0.17666666666666667,1,0.0,0.0,27.83,46.152443625431914,0.768312097730755,0.0,0.10666666666666667,0.0,0.0,0.7166666666666667,0.0,0.08,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,19,300,0.9386199650420181,0.7095420611087304,0.7533333333333333,0.22333333333333333,1,0.0,0.0,27.786666666666665,46.79626056188032,0.7152866317086849,0.0,0.2,0.0,0.0,0.6766666666666666,0.0,0.02666666666666667,phi
