scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,bler_slope
wideband,shield_repair,naive,phi,radioml,0,300,0.7773668581371318,0.4135329990853089,0.0,0.2633333333333333,2,0.0,0.36466666666666664,27.89,46.14885642559775,0.5140335248037985,0.0,0.2633333333333333,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,1,300,0.7676699488990336,0.24595460898632726,0.0,0.21,3,0.0,0.386,27.89,48.607684304036944,0.5576699488990335,0.0,0.21,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,2,300,0.7681321223424682,0.11499502437627782,0.0,0.17666666666666667,1,0.0,0.37466666666666665,27.85,43.41591752657694,0.5914654556758014,0.0,0.17666666666666667,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,3,300,0.780689291382449,0.19144361302259008,0.0,0.18666666666666668,3,0.0,0.38,27.94,48.4188152620665,0.5940226247157824,0.0,0.18666666666666668,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,4,300,0.7670596516719558,0.19142365979347223,0.0,0.17666666666666667,6,0.0,0.38333333333333336,28.01,51.04227513077476,0.5903929850052891,0.0,0.17666666666666667,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,5,300,0.7670790305293765,0.21006585662541158,0.0,0.18333333333333332,4,0.0,0.3913333333333333,27.81,44.29878200805063,0.5837456971960432,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,6,300,0.7703424408829139,0.2550976400609219,0.0,0.13666666666666666,5,0.0,0.364,28.06,46.16480342702898,0.6336757742162474,0.0,0.13666666666666666,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,7,300,0.7825596212298155,0.19033833709929715,0.0,0.15666666666666668,3,0.0,0.37933333333333336,27.94,48.072818917828215,0.6258929545631486,0.0,0.15666666666666668,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,8,300,0.7665477215231756,0.1926553228845189,0.0,0.2,5,0.0,0.38,27.96,46.17690554645433,0.5665477215231757,0.0,0.2,0.0,0.0,0.0,0.0,0.5
wideband,shield_repair,naive,phi,radioml,9,300,0.7442832801611551,0.15384465734133632,0.0,0.12,3,0.0,0.38133333333333336,27.94,48.94491408959326,0.6242832801611552,0.0,0.12,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,0,300,0.9431353020648817,0.9015551622522775,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9431353020648817,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,1,300,0.9496748160856843,0.9045359089309075,0.0,0.0,2,0.0,0.0,26.0,44.16666666666665,0.9496748160856843,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,2,300,0.9450964081777945,0.9016706891209736,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9450964081777945,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,3,300,0.9456353280532037,0.9021981019534522,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9456353280532037,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,4,300,0.9455459899388772,0.9044411330915979,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9455459899388772,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,5,300,0.9480200730181959,0.9059160618927647,0.0,0.0,2,0.0,0.0,26.0,44.16666666666665,0.9480200730181959,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,6,300,0.9427994652596529,0.8974475569662005,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9427994652596529,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,7,300,0.9458636206004887,0.9004883108809467,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9458636206004887,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,8,300,0.943011947414249,0.9019849124826987,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.943011947414249,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,heuristic,naive,phi,radioml,9,300,0.9444544638725961,0.8999229767454808,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9444544638725961,0.0,0.0,0.0,0.0,0.0,0.0,0.5
bursty,greedy_twin,naive,phi,radioml,0,300,0.9481156740419809,0.854216904452368,0.49666666666666665,0.6933333333333334,2,0.0,0.0,29.14,51.02622108676268,0.2547823407086475,0.14666666666666667,0.39666666666666667,0.16333333333333333,0.0,0.0,0.49333333333333335,0.5
bursty,greedy_twin,naive,phi,radioml,1,300,0.9479631500025035,0.8088145501402669,0.54,0.75,1,0.0,0.0,29.466666666666665,66.1310047642069,0.19796315000250336,0.15666666666666668,0.43,0.14333333333333334,0.0,0.0,0.5633333333333334,0.5
bursty,greedy_twin,naive,phi,radioml,2,300,0.9499604468560271,0.8262706120207608,0.5533333333333333,0.8333333333333334,1,0.0,0.0,29.963333333333335,53.34099460389383,0.11662711352269368,0.16333333333333333,0.4766666666666667,0.13666666666666666,0.0,0.0,0.6866666666666666,0.5
bursty,greedy_twin,naive,phi,radioml,3,300,0.9444671920609256,0.7990675800226634,0.49333333333333335,0.7,1,0.0,0.0,29.106666666666666,59.541575241797105,0.24446719206092551,0.14666666666666667,0.3933333333333333,0.14,0.0,0.0,0.4666666666666667,0.5
bursty,greedy_twin,naive,phi,radioml,4,300,0.9490696652229629,0.8514693481264599,0.5433333333333333,0.7733333333333333,3,0.0,0.0,29.486666666666668,59.63781605369679,0.17573633188962953,0.17,0.42,0.14666666666666667,0.0,0.0,0.6033333333333334,0.5
bursty,greedy_twin,naive,phi,radioml,5,300,0.9518753477467995,0.8741714068241528,0.5766666666666667,0.84,1,0.0,0.0,29.97,53.43020073756361,0.11187534774679948,0.11666666666666667,0.4633333333333333,0.15,0.0,0.0,0.7166666666666667,0.5
bursty,greedy_twin,naive,phi,radioml,6,300,0.9523028128878529,0.8632280023747956,0.5633333333333334,0.8033333333333333,1,0.0,0.0,30.063333333333333,51.43551946380165,0.14896947955451964,0.15,0.47,0.14,0.0,0.0,0.69,0.5
bursty,greedy_twin,naive,phi,radioml,7,300,0.9493193337252601,0.8702608180323083,0.5366666666666666,0.7633333333333333,1,0.0,0.0,29.486666666666668,56.707582477239214,0.1859860003919268,0.11666666666666667,0.44,0.16666666666666666,0.0,0.0,0.5966666666666667,0.5
bursty,greedy_twin,naive,phi,radioml,8,300,0.9531817200117805,0.867354115877721,0.5266666666666666,0.7533333333333333,1,0.0,0.0,29.55666666666667,56.050414782466866,0.19984838667844726,0.13666666666666666,0.44666666666666666,0.14,0.0,0.0,0.6066666666666667,0.5
bursty,greedy_twin,naive,phi,radioml,9,300,0.9500137490632987,0.837887666955079,0.5,0.75,1,0.0,0.0,29.52,48.91959748777776,0.2000137490632986,0.12,0.45,0.14,0.0,0.0,0.5866666666666667,0.5
bursty,shield_filter,naive,phi,radioml,0,300,0.9155606663555825,0.7668576584995016,0.0,0.023333333333333334,4,0.0,0.0,25.18,41.1680238574899,0.8922273330222492,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,1,300,0.9169686842650026,0.7892611375312912,0.0,0.023333333333333334,1,0.0,0.0,25.04,37.97324341782476,0.8936353509316692,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,2,300,0.9200008720214468,0.7983017206073911,0.0,0.02666666666666667,1,0.0033333333333333335,0.0,24.95,40.892062056034426,0.8933342053547801,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,3,300,0.9169552611002215,0.7674864848614488,0.0,0.023333333333333334,2,0.0,0.0,24.87,42.68964274730989,0.8936219277668882,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,4,300,0.9180113269826357,0.8242447566997491,0.0,0.02,3,0.0,0.0,24.98,42.31544131135062,0.8980113269826356,0.0,0.02,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,5,300,0.9174435306946538,0.7722698727077353,0.0,0.01,1,0.0,0.0,24.92,40.66369371209708,0.9074435306946538,0.0,0.01,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,6,300,0.922844966437374,0.8584941082273881,0.0,0.016666666666666666,1,0.0033333333333333335,0.0,24.97,42.60200373242404,0.9061782997707074,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,7,300,0.9214347596416947,0.8357635489208983,0.0,0.016666666666666666,1,0.0,0.0,24.98,37.82590234872613,0.904768092975028,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,8,300,0.9222332639964441,0.8398157136796641,0.0,0.013333333333333334,1,0.0033333333333333335,0.0,24.86,38.4257851063363,0.9088999306631107,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.5
bursty,shield_filter,naive,phi,radioml,9,300,0.9170027959133191,0.7925874479723269,0.0,0.023333333333333334,1,0.0,0.0,25.09,38.24656330340709,0.8936694625799858,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,0,300,0.9409647863845415,0.8360653459676104,0.0,0.07666666666666666,2,0.0,0.358,26.62,47.91836223209324,0.8642981197178746,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,1,300,0.9410793340072824,0.8681674518805628,0.0,0.07333333333333333,1,0.0,0.35733333333333334,26.51,47.35826882707104,0.867746000673949,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,2,300,0.9390290712576941,0.8480144405755267,0.0,0.11333333333333333,1,0.0,0.362,26.6,43.07632735230224,0.8256957379243608,0.0,0.11333333333333333,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,3,300,0.9335959369456278,0.8364801185842053,0.0,0.06666666666666667,2,0.0,0.3426666666666667,26.28,49.58899361292248,0.8669292702789612,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,4,300,0.9415602135375892,0.852569363114615,0.0,0.05,3,0.0,0.356,26.7,49.8377266383382,0.8915602135375893,0.0,0.05,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,5,300,0.9440250366485347,0.8604432506693988,0.0,0.08666666666666667,1,0.0,0.382,26.75,49.21303172518032,0.857358369981868,0.0,0.08666666666666667,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,6,300,0.9442763763176585,0.8632507944723316,0.0,0.07666666666666666,1,0.0,0.36333333333333334,26.87,45.945769894534294,0.8676097096509918,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,7,300,0.9419841661094824,0.8739398610770611,0.0,0.056666666666666664,1,0.0,0.352,26.3,47.211769183859,0.8853174994428158,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,8,300,0.9449922285320425,0.8659203704844919,0.0,0.10666666666666667,1,0.0,0.33666666666666667,26.69,46.45321535047655,0.8383255618653759,0.0,0.10666666666666667,0.0,0.0,0.0,0.0,0.5
bursty,shield_repair,naive,phi,radioml,9,300,0.9387790093065664,0.8275427076328592,0.0,0.1,1,0.0,0.34,26.51,44.5688520948703,0.8387790093065665,0.0,0.1,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,0,300,0.9227635829585874,0.8631463142781859,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9227635829585874,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,1,300,0.9203861626777384,0.8595662124011029,0.0,0.0,5,0.0,0.0,26.0,44.16666666666665,0.9203861626777384,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,2,300,0.9218847451030179,0.8549909223628998,0.0,0.0,3,0.0,0.0,26.0,44.16666666666665,0.9218847451030179,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,3,300,0.9242169391289636,0.8639563514035462,0.0,0.0,3,0.0,0.0,26.0,44.16666666666665,0.9242169391289636,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,4,300,0.9235600471236338,0.8637839693924376,0.0,0.0,2,0.0,0.0,26.0,44.16666666666665,0.9235600471236338,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,5,300,0.9219324388637282,0.8640297908606438,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9219324388637282,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,6,300,0.9216087701493889,0.8584325847033549,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9216087701493889,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,7,300,0.9206968818540613,0.859140621893217,0.0,0.0,3,0.0,0.0,26.0,44.16666666666665,0.9206968818540613,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,8,300,0.9266274001176534,0.8595188131970906,0.0,0.0,2,0.0,0.0,26.0,44.16666666666665,0.9266274001176534,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,heuristic,naive,phi,radioml,9,300,0.9259538205734452,0.8602798174398828,0.0,0.0,4,0.0,0.0,26.0,44.16666666666665,0.9259538205734452,0.0,0.0,0.0,0.0,0.0,0.0,0.5
backhaul,greedy_twin,naive,phi,radioml,0,300,0.9357590220543377,0.8899704535399864,0.44666666666666666,0.76,1,0.0,0.0,29.466666666666665,56.552668459230446,0.1757590220543377,0.11666666666666667,0.4666666666666667,0.15666666666666668,0.0,0.0,0.5333333333333333,0.5
backhaul,greedy_twin,naive,phi,radioml,1,300,0.9338195354721714,0.8892276321885624,0.4166666666666667,0.6466666666666666,1,0.0,0.0,28.95,55.57394716971142,0.2871528688055047,0.14666666666666667,0.32666666666666666,0.11333333333333333,0.0,0.0,0.4266666666666667,0.5
backhaul,greedy_twin,naive,phi,radioml,2,300,0.9317544091716937,0.8871788577967555,0.45,0.7333333333333333,1,0.0,0.0,29.43,59.41887970877084,0.19842107583836024,0.15333333333333332,0.3933333333333333,0.13,0.0,0.0,0.5366666666666666,0.5
backhaul,greedy_twin,naive,phi,radioml,3,300,0.9353337027576056,0.8933347305735791,0.41,0.6333333333333333,1,0.0,0.0,29.023333333333333,52.77616603548119,0.30200036942427233,0.11333333333333333,0.3933333333333333,0.13,0.0,0.0,0.42,0.5
backhaul,greedy_twin,naive,phi,radioml,4,300,0.9355237015251976,0.8856012858265285,0.44666666666666666,0.7333333333333333,1,0.0,0.0,29.393333333333334,61.60001457180091,0.20219036819186434,0.11333333333333333,0.4,0.15,0.0,0.0,0.5666666666666667,0.5
backhaul,greedy_twin,naive,phi,radioml,5,300,0.9331477133396989,0.8841367705880521,0.4033333333333333,0.6433333333333333,1,0.0,0.0,29.11,60.527754342855715,0.2898143800063655,0.13,0.33666666666666667,0.12666666666666668,0.0,0.0,0.45,0.5
backhaul,greedy_twin,naive,phi,radioml,6,300,0.934745027754602,0.8866336118212357,0.4066666666666667,0.64,1,0.0,0.0,29.083333333333332,47.67668230736369,0.29474502775460193,0.12,0.36,0.13,0.0,0.0,0.44333333333333336,0.5
backhaul,greedy_twin,naive,phi,radioml,7,300,0.9351634275567892,0.8902875169761937,0.4666666666666667,0.7133333333333334,1,0.0,0.0,29.47,57.291507348380144,0.22183009422345595,0.12666666666666668,0.38,0.12666666666666668,0.0,0.0,0.49666666666666665,0.5
backhaul,greedy_twin,naive,phi,radioml,8,300,0.9323667766656719,0.8888654786972988,0.44666666666666666,0.6933333333333334,1,0.0,0.0,29.24,57.25700468804874,0.2390334433323386,0.14,0.37666666666666665,0.16666666666666666,0.0,0.0,0.5,0.5
backhaul,greedy_twin,naive,phi,radioml,9,300,0.937612790564565,0.8918428473275359,0.44666666666666666,0.6933333333333334,1,0.0,0.0,29.363333333333333,58.9177988165209,0.2442794572312318,0.10666666666666667,0.43666666666666665,0.12,0.0,0.0,0.51,0.5
backhaul,shield_filter,naive,phi,radioml,0,300,0.9103394727941824,0.7824842211635256,0.0,0.15,1,0.006666666666666667,0.0,25.9,36.80279856634508,0.7603394727941823,0.0,0.15,0.0,0.0,0.0,0.0,0.5
backhaul,shield_filter,naive,phi,radioml,1,300,0.9099222391358277,0.841863801403174,0.0,0.05333333333333334,1,0.016666666666666666,0.0,25.71,39.3401419549039,0.8565889058024944,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.5
backhaul,shield_filter,naive,phi,radioml,2,300,0.9125456782010013,0.8510156118387517,0.0,0.09,1,0.006666666666666667,0.0,25.93,40.5394746500377,0.8225456782010013,0.0,0.09,0.0,0.0,0.0,0.0,0.5
