condition,scenario,controller,seed,cycles,mean_pdr,p95_latency_proxy,safety_violations,violation_rate,recovery_cycles,rollbacks,admitted_actions,total_proposals,mean_reward
radioml,bursty,llm_only,0,300,0.9542342347864038,1.9886265646359647,68,0.22666666666666666,2,0,300,1500,0.25130090145307044
radioml,bursty,llm_only,1,300,0.9543112512054673,1.7860622979412906,103,0.3433333333333333,1,0,300,1500,0.13131125120546724
radioml,bursty,llm_only,2,300,0.966550034002452,1.0547302825254994,85,0.2833333333333333,1,0,300,1500,0.20755003400245206
radioml,bursty,llm_only,3,300,0.9468108960953047,2.039236680404822,75,0.25,1,0,300,1500,0.22127756276197147
radioml,bursty,llm_only,4,300,0.9645394617843586,1.0436156050947807,65,0.21666666666666667,1,0,300,1500,0.27527279511769187
radioml,bursty,llm_only,5,300,0.9643523883120358,1.031324059408747,82,0.2733333333333333,2,0,300,1500,0.21355238831203588
radioml,bursty,llm_only,6,300,0.9533492270169116,2.245607483458103,84,0.28,1,0,300,1500,0.19681589368357819
radioml,bursty,llm_only,7,300,0.9567034550273305,1.4313100181241707,75,0.25,1,0,300,1500,0.22910345502733032
radioml,bursty,llm_only,8,300,0.9575949074526575,1.286393824617561,81,0.27,1,0,300,1500,0.20552824078599097
radioml,bursty,llm_only,9,300,0.9599406743306186,1.0629747082218806,77,0.25666666666666665,1,0,300,1500,0.23007400766395197
radioml,bursty,shield_ric,0,300,0.9422393885781035,2.6254218693377394,0,0.0,2,0,300,1500,0.48323938857810345
radioml,bursty,shield_ric,1,300,0.9479183018255992,2.193288433036593,0,0.0,1,1,299,1500,0.4879183018255991
radioml,bursty,shield_ric,2,300,0.9608885629752232,1.0962952496342024,0,0.0,1,0,300,1500,0.5012885629752233
radioml,bursty,shield_ric,3,300,0.9467446451789219,2.509728462359581,0,0.0,1,1,299,1500,0.4887446451789219
radioml,bursty,shield_ric,4,300,0.9573963248792581,1.09334994423654,0,0.0,1,1,299,1500,0.49759632487925815
radioml,bursty,shield_ric,5,300,0.9460737625254487,2.731821031886944,0,0.0,1,1,299,1500,0.48367376252544875
radioml,bursty,shield_ric,6,300,0.9511736560149956,2.2650597054966313,0,0.0,1,1,299,1500,0.4889736560149957
radioml,bursty,shield_ric,7,300,0.9620161405054015,1.0262175111232856,0,0.0,1,1,299,1500,0.5010161405054013
